goal,steps,ordered?
How to Get Better Friends - Being a Good Friend,Listen to your friends when they have something they want to tell you. Show genuine appreciation for your friends to let them know you care. Make time to see and communicate with your friends. Respect your friends' boundaries so you don't come across as clingy.,0
How to Get Employees to Mingle at a Christmas Party - Helping People Mingle,Help people bond with a fun activity. Help people who don't know each other find common ground. Have employees fill out a fun questionnaire in advance. Have an advance rule that no one can discuss business matters at the party. Don't let anyone get too drunk.,0
How to Dance to Country Music - Mastering the Basics,Listen to a variety of country music to familiarize yourself with the beats. Watch videos of people dancing to country music. Master the two-step for a foundation for your dance moves. Practice the “sweetheart” position to set yourself up to do spins. Practice doing basic dips with your partner.,0
How to Make a Best Friend - Going from Friends to Best Friends,Start hanging out with this friend. Nurture the new friendship. Make sure it goes both ways. Get to know their friends.,0
How to Become a Certified Life Coach - Training to be a Life Coach,Use online training modules. Find distance learning courses. Participate in local workshops. Meet one-on-one with a mentor.,1
How to Make a Camo Cake - Baking the Cake,"Preheat the oven according to the temperature on the boxed mix. Grease the cake pans and line them with parchment paper. Prepare the boxed cake mix following the instructions on the back. Divide the cake batter evenly between 4 bowls. Stir green, brown, and black gel food coloring into the divided batter. Alternate spooning different colors of batter into lightly greased pans. Bake the cakes in a pre-heated oven according to package directions. Allow the cakes to cool before removing them from the pans.",0
How to Prune Citrus Trees - Tailoring Your Pruning,"Aim to remove 20% of the total canopy. Focus on the long, gangly branches. Remove any low-lying “skirting” branches. Cut out any swollen stems. Cut out any dead or diseased wood. Cut out any wood laying on top of one another. Trim back watershoots in young trees.",1
How to Find Surface Area of a Triangular Prism - Finding the Lateral Area,Write down the formula for finding the lateral area of a triangular prism. Calculate the perimeter of one base. Plug the perimeter into the lateral area formula. Plug the height of the prism into the lateral area formula. Multiply the perimeter of one base with the height of the prism.,1
How to Make a Chocolate Bar - Tempering and Molding Chocolate Bars,"Choose an unwaxed chocolate designed for melting. Cut the chocolate into small pieces around ⁄2 inch (1.3 cm) in size. Bring a pot of water to a simmer. Keep 1/4 of your chocolate chilled for “seeding”. Place the bowl of chocolate over your pot of water. Check the temperature of the chocolate as it melts. Remove the bowl from the heat to seed your chocolate. Put the chocolate back over the pot to raise its temperature. Pour the chocolate into a silicon mold or rimmed baking tray. Refrigerate the chocolate until it is set. Store the bars in a cool, dry place for up to a month.",0
How to Blow Dry Layered Hair - Blow Drying Short Layers,"If your hair is several inches above your shoulders (your shortest pieces less than an inch long), section off the hair right above your ears and clip it away. Blow dry your shortest layers (below the ears) with just the blow dryer in a downwards motion, combing through the hair with either your fingers or a brush. Proceed to dry the rest of your hair the way described previously.",1
How to Choose Kids Books for Harry Potter Fans - Going With Your Child or a Friend,"See if any fantasy book clubs are open for members. Read a rival book series, and then choose your favorite book/let your child choose their favorite book from the rival series and Harry Potter. Be on the lookout for books by J. K. Rowling.",0
How to Brown a Roast for Cooking in a Crockpot,"Rinse the roast with cold water. Place the meat on a cutting board. Pat it dry with paper towels, pressing to absorb as much water as possible. Trim any excess fat off the meat. Cut the roast into smaller pieces if it is too large to fit into your crockpot. Heat 2 tablespoons (30 mm) of cooking oil in a large Dutch oven on medium high heat. Sprinkle and rub salt and pepper all over the meat. Brown the meat in the hot oil for several minutes on each side. Remove the seared meat and place it in the crockpot you’ll use to roast it.",1
How to Apply for a Marriage License in Kentucky - Getting a Marriage License in Kentucky if Both Parties are over 18,Visit the county clerk’s office to apply for a marriage license. Present your identification. Complete the marriage license application. Pay the fee for the marriage license. Complete the marriage ceremony within 30 days of receiving your license.,1
How to Act Around Your Ex - Seeing Your Ex at Work or School,Behave professionally at all times. Communicate issues discreetly. Find a buffer.,0
How to Hide Friends on Facebook - On Mobile,Open Facebook. Tap ☰. Scroll down and tap Settings. Tap Account Settings. Tap Privacy. Tap Who can see your friends list?. Tap Only me.,0
How to Do Math Calculations in Spotlight for Mac - Advanced calculations,Do advanced calculations following the order of operations. Press the ⏎ Return key to open the full calculator (your Mac's built-in calculator).,0
How to Retire Young - The Basics: Making Smart Decisions,"Determine exactly what a young age is. Learn to manage finances. Get a college education. Save early, save often. Reduce your expenses.",1
How to Change Your Password in Linux Using Terminal,"Open the Terminal if using a desktop environment. Type passwd in the terminal. If you have the right permissions, it will ask you for your old password. After entering your old password, enter in the new desired password.",1
How to Report Visa Violations - Reporting a Visa Holder,Gather information. Find a hotline or local office of ICE. Submit your tip to ICE.,0
How to Be More Perceptive - Trusting Your Intuition,Understand intuition and its role in your life. Discover traits of the intuitive person. Recognize some of the signs. Learn to become more intuitive. Check your gut decisions against the facts.,1
How to Visit a Disney Park In Search of Only Hidden Mickeys,"Gather as many sources as humanely possible of information regarding the locations of Hidden Mickeys around the park you'll be visiting. Plan your trip to the Disney Park of your choice. Look high and low and with a careful eye to detail, to spot those Hidden Mickeys that no one else has ever mentioned before. Look even into the entrances and ""back-alleys"" in some of the resorts, as some may be in places you wouldn't have thought to have even checked otherwise. Walk around each park jotting down exactly how the hidden Mickey was formed, and try to be as descriptive as possible.",1
How to Check Your Driving Record Online - Checking Employees' Driving Records,Learn the law. Get consent. Collect employees' personal information. Request employees' records.,1
How to Copy an Email on PC or Mac - Using Gmail or Yahoo,"Open your mailbox in your internet browser. Click the email you want to copy. Click the {""smallUrl"":""https:\/\/www.wikihow.com\/images\/6\/6e\/Android7print.png"",""bigUrl"":""https:\/\/www.wikihow.com\/images\/6\/6e\/Android7print.png"",""smallWidth"":460,""smallHeight"":460,""bigWidth"":760,""bigHeight"":760,""licensing"":""<div class=\""mw-parser-output\""><p>I edited this screenshot of an Android icon.\n<\/p><p>License: <a rel=\""nofollow\"" class=\""external text\"" href=\""http:\/\/en.wikipedia.org\/wiki\/Fair_use\"">Fair Use<\/a><br>\n<\/p><\/div>""} icon on the top-right. Click the Change button next to Destination. Select Save as PDF or Print to PDF. Click the Print button. Click Print in the confirmation pop-up. Select a folder to save your PDF. Click the Save button.",0
How to Peel a Pumpkin - Peeling with a Vegetable Peeler,"Wash the pumpkin to remove dirt and contaminants and soften the skin. Cut the rounded top and bottom off of the pumpkin to create flat surfaces. Set up the pumpkin and the peeler. Peel the skin using the peeler, starting from the side closest to you. Rotate the pumpkin to continue the peeling process. Inspect the pumpkin and check to make sure all of the skin is peeled.",0
How to Delete a YouTube Account - Deleting Accounts,"Visit the Google Account Management page. Click the ""Data tools"" tab. Click the ""Delete Google+ profile and features"" link. Confirm that you want to delete everything described by checking the ""Required"" box at the bottom of the page. Click ""Remove selected services"".",0
How to Transition Into Becoming an Adult Male - Caring for Yourself Independently,Learn to cook for yourself. Take care of your body. Take care of your possessions.,0
How to Use a Nose Trimmer - Cleaning and Storing the Trimmer,"Rinse out the hairs from the blades after every use. Spray the blades with a barber’s disinfectant. Store the nose trimmer in a clean, dry place.",1
How to Break in a Bible - Part Three: Long-Term Bible Care,"Keep the Bible out of direct sunlight. Avoid moisture. Support upright Bibles. Mark carefully. Use the Bible regularly. Apply additional oil, if necessary. Quickly clean away dirt and spills.",1
How to Deal With a Married Boyfriend - Learning The Risks,Be aware that he likely won't leave his wife. Realize that he will always be connected to his family. Prepare yourself for a difficult relationship.,0
How to Perform Tracheostomy Care - Suctioning the Tube,Gather your materials. Wash your hands thoroughly. Prepare and test the catheter. Prep the patient and administer saline. Insert the catheter and apply suction. Let the patient get some air.,1
How to Lose Pancreas Fat - Radically Restricting Your Caloric Intake,Consult your doctor. Set a goal to lose 10–15 kilograms (22–33 lb). Eat 825–850 calories per day. Stay motivated. Reintroduce food gradually over 2-8 weeks. Begin including daily activity after you reach your weight goal.,0
How to Make Spring Rolls - Cooking Thai Fresh Rolled,"Mix the tapioca flour and rice flour in bowl. Mix coconut milk, salt and coconut sugar. Divide the flour mixture into 3 cups of droplets of food coloring. Bring the pan over low heat. Make a slight increase in volume and wait for the cooked until it looks mellow. Bring it to the cutting board.",0
How to Defrost Salmon - Thawing in Cold Water,"Place the frozen salmon in a resealable plastic bag. Set the bagged salmon into a large, deep bowl. Fill up the bowl with cold water until the salmon is submerged. Refresh the water every 10 to 20 minutes or use running water. Thaw the salmon under cold water for up to 1 hour before cooking it.",0
How to Post Process Smoke Images - Mirroring Your Smoke,Have your basically processed image. Make a selection of the smoke and invert it. Duplicate the layer and flip it so that it is 'reflected'.,0
How to Motivate Yourself to Run Regularly - Considering Some Strength Training,Contemplate taking your exercise a step further. Run three to four times a week. Add some strength training. Take breaks too.,0
"How to Answer ""What Are Your Strengths"" in an Interview - Preparing Your Answers",Add examples for each strength you wrote on your list. Analyze how your strengths align with the company's needs. Pick 3 strengths you have that are relevant to the position. Prepare to answer a follow up question about your weaknesses.,0
How to Make German Chocolate Caramel Brownies,"Combine the light caramels and the first 1/3 cup of evaporated milk in a saucepan. Remove from heat and set aside. Preheat the oven to 350ºF/180ºC. Mix the German chocolate cake mix, butter, second 1/3 cup of evaporated milk, chopped nuts in a large bowl, by hand. Press half of the batter into the pan. Place in the oven and bake for 8-9 minutes. Drizzle the melted caramel over the top of the semi-cooked cake half and sprinkle over the chocolate chips. Drop small spoonfuls of the remaining half of the batter over the top of the semi-cooked half. Bake at 350ºF/180ºC for 15 to 18 minutes. Remove from the oven and leave to cool.",1
How to Keep Japanese Weather Loaches - Setting up Your Aquarium,"Purchase a tank with 40 US gal (150 L) of space and a 4 ft (1.2 m) length. Create a bottom substrate with small-grained sand or gravel. Decorate the tank with plants, rocks, and shelters. Install an under-gravel or power filter. Fill your tank with conditioned water. Install a heater inside your tank to keep it warm.",1
How to Become an Executive Coach - Continuing Your Professional Development,"Find conferences, seminars, and courses through your organization. Choose a more experienced coach to mentor you. Take accredited courses to satisfy your renewal requirements. Renew your credentials when necessary. Apply for advanced certifications as you gain experience.",0
How to Politely End a Conversation - Abruptly Ending Conversations,Respect and protect your boundaries. Use an assertive tone. Inform them that they have crossed a line if they are offensive. Announce that the conversation is over.,0
How to Harvest Purslane - Growing Purslane,"Purchase purslane seeds. Choose a suitable patch of soil for planting. Plant purslane in spring or summer. Water purslane in arid climates, heatwaves, and droughts. Manage purslane size with frequent harvesting.",0
How to Make Sweet Curry Powder,"If using fresh spices, grind or mill them in readiness. Mix the spices together in a small mixing bowl. Pour into a suitable airtight container for storage. Label and store.",0
How to Play Roller Derby - Starting the Jam,Get the blockers and pivots on the straight portion of the track. Position the jammers behind the pack before each jam starts. Begin timing the skaters for a jam (2 minutes) once they start moving. Start a new jam after 1 jam ends. Take up to three 1-minute time outs during the game. Swap out players between jams as needed.,0
How to Relax in Bed - Making Your Bedroom Relaxing,Turn off everything electronic. Get the lighting right. Adjust the temperature. Fill the room with a relaxing scent. Throw on some comfy clothes.,1
How to Format FAT32 - Windows (Drives 32 GB and Smaller),"Back up anything on the drive you want to save. Open the Computer/This PC window. Right-click on your USB drive and select ""Format."" Select ""FAT32"" from the ""File system"" menu. Uncheck ""Perform quick format"" if the USB is performing poorly. Give the drive a label. Click ""OK"" to start the format process. Verify that your drive works.",1
How to Throat Sing - Throat Singing,"Relax your jaw and lips. Make an ""R"" or ""L"" sound with the tip of your tongue. Sing a comfortably low ""base"" note. Move the body of your tongue back and forth. Slowly change the shape of your lips to adjust the sound. Bring it all together to throat sing.",1
How to Teach Yourself to Get Up As Soon As Your Alarm Clock Goes Off - Waking Up,Sit up immediately. Use your environment to help you continue to wake up. Begin your morning routine immediately. Start your day with physical activity. Make and eat a healthy breakfast.,0
How to Endure a Root Canal - Understanding the Procedure,Learn why the pulp needs to be removed. Become knowledgeable about the process. Kill any lingering bacteria after the dentist places the filling. Fit a new crown on your tooth to finish out the procedure.,1
How to Treat a Child with Apert Syndrome - Treating Apert Syndrome with Surgery,Consider facial reconstruction surgery. Know that surgery can be done to repair your child's shallow eye sockets. Talk to a surgeon about cleft palate reconstruction. Have your child's fingers and toes separated surgically. Consider LeFort III surgery.,1
How to Control Your Man - Benefiting from a Loving Relationship,Be more socially connected. Feel more secure. Improve your health.,1
How to Pair Chocolate with Cheese - Pairing Chocolates With Cheeses That Complement Each Other,Try most cheeses with dark chocolate. Pair milk chocolates with mild cheeses. Taste white chocolate with mellow cheeses. Pair crunchy chocolates or bark with a variety of cheeses.,1
How to Enjoy Your Life and Your Job - Part Two: Have a Fulfilling Work Life,Evaluate your current job. Change your job description. Transfer within the company. Work with different people. Confide in a trustworthy co-worker. Shift your hours. Personalize your working space. Clear out the clutter. Multitask less often. Think ahead.,0
How to Talk About Daily Stress with Your Partner - Having Daily Conversations,Approach your partner. Open up about how you feel. Discuss your stress temperature. Listen. Find an appropriate limit. Keep updated on each other’s lives.,0
How to Get Free Stuff - Getting Free Food,"Get free coffee at the bank. Hit up the continental breakfast with the ""other"" guests. Hit up the farmers' market just before closing time. Head to a street festival for samples. Get free tastes. Check the trash behind grocery outlets. Learn to recognize edible plants and other foragable food.",0
How to Install Pool Cue Tips,"Use a razor blade, sharp knife, or pliers to either cut or pull off the old tip from the end of the cue. Scrape off any remaining old glue from the ferrule using your blade or knife. Use 60 to 80 grit sandpaper to sand down and smooth the end of the pool cue to make the surface as even as possible. Apply a small amount of nail polish remover to a paper towel. Wipe any remaining residue from the cue tip and bottom shaft areas using the paper towel to prepare for the installation of a new pool cue tip. Place the new tip flat side down on a piece of 400 to 600 fine grit sandpaper. Use slight, but even pressure to sand the tip using the sandpaper until the tip is smooth on the back side. Place the tip on the end of the cue to verify that the tip lies flat across the top of the ferrule. Apply a few drops of glue to the top of the pool shaft. Place the cue tip flat side down on the shaft and make adjustments as necessary so that the tip lines up in the center. Use a paper towel to wipe away any glue residue that escapes from the sides of the cue tip and shaft. Allow the shaft to sit for at least one hour or until the glue dries. Use the fine grit sandpaper to gently sand the edges of the tip to make it smooth for billiards play. Use sandpaper or a tip shaper tool to shape the cue as desired.",0
How to Text a Heart Using Symbols,Create a new message. Enter the recipient. Go to the symbol keypad to add symbols. Insert the open angle bracket. Add a 3. Send your message.,1
How to Use a VCR for Extended Recording of Radio Talk Shows,"Turn on radio - set to desired station at moderate volume Connect appropriate cable from radio output jack to input audio jack on rear of VCR (L1) Turn on TV and VCR - insert blank tape On VCR remote control - select VCR - select extended play speed (S.L.P) - press Menu - select Timer Program (OK) - press Input to select Channel L1 - set date - set start time - set end time - press OK twice. Press Menu (to return to normal TV display). Turn off TV and VCR - leave radio on and connected to L1 After recording has finished, rewind tape, turn TV on and press Play on VCR to listen to recording.",0
How to Heal a Sore Arm - Resting Your Arm,Rest the sore area. Use wraps or compressive elastic bandages. Remove all jewelry. Wear a sling. Elevate your arm.,1
How to Be a Healthy Kid - Having Fun and Building Relationships,Have fun with friends and family. Look for role models. Make time to just relax.,0
How to Use Herbs to Freshen the Air - Freshening Specific Rooms with Herbs,Put sprigs of fresh herbs in a vase. Grow herbs in your kitchen. Mix some sleeping dust for your bedroom. Put herbs in your fireplace. Buy herbal products that can freshen the air naturally.,0
How to Keep a Food Diary - Analyzing the Data,Look for patterns in the meals you eat. Count how many snacks you have daily. Compare your weekdays and weekend days. Jot down notes regarding your emotional connection with food. Circle any food intolerances.,1
How to Transfer Nokia Contacts to a Samsung - Syncing Google Contacts,Open Settings . Tap Accounts. Tap Add account. Tap Google. Sign into your Google account. Tap your new Google account. Tap Sync account. Tap to turn the switch on  next to “Contacts.” Your phone will sync your Google Contacts.,0
How to Wear Denim on Denim - Accessorizing Your Denim Outfit,Avoid denim accessories or western-style pieces. Choose accessories in bold patterns or colors to break up the denim. Slide on heels or dress shoes for a polished look.,0
How to Use Microsoft Publisher - Saving Your Document,Click on “File” and select “Save.” Type a name for your document in the “Save As” dialog box. Specify the location to which you want your document saved. Click on “Save.” Your document will now be saved.,1
How to Install a Residential Telephone Jack - Prepare for the Installation,Choose a new jack. Find your home’s Network Interface Device (NID) and disconnect your phone line.,0
How to Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker,"Find or buy a pressure cooker pot. Trace the top of the pot on a piece of a crystal clear acrylic sheet. Mark another, larger circle around the one you just made. Cut the circle out with a jigsaw. Drill a pilot hole in the circle with a ⁄16 in (1.1 cm) drill bit. Use pliers to screw in a ⁄4 inch (0.64 cm) NPT tap. Make a batch of proto putty from silicone and cornstarch. Roll the proto putty into a thick rope that will fit around the rim of the pot.",0
How to Accessorize - Knowing the Do's and Dont's,Wear a few well-chosen accessories at a time. Pair bold accessories with understated clothes. Avoid being too matchy. Wear items that play up a color in your outfit. Balance the size of your pieces. Choose items that enhance your features. Use bold makeup as an accessory.,1
How to Attract Blue Jays - Keeping Blue Jays Fed,Offer the blue jays their favorite foods. Keep their perch clear. Consider planting an oak tree. Keep the food stocked.,0
How to Pick Speakers for a Home Audio System - Picking for Small Parties or Home Theater,"Make sure you have good bass and treble. Position them in the corners of the room, facing the front of the audience. Keep your subwoofer simple. Make sure that the box is ported.",0
How to Breed Alpacas - Encouraging Reproduction,Expose the breeding male to the female. Induce ovulation in the female alpaca. Place the male and female alpaca in the breeding pen. Separate the alpacas if the female is not receptive. Wait a week or two after copulation to re-mate alpacas.,1
How to Create a Chocolate Rose Arrangement - Making the Chocolate Roses,Place cookie sticks into the bottom of each mold so its ready to be covered with chocolate. Divide chocolate colors into microwave safe bowls. Microwave each bowl on half power for approximately 60 seconds. Immediately spoon melted chocolate into molds. Place molds in the refrigerator and allow to chill for 15 or more minutes. Remove flowers from molds by gently twisting mold tray and set flowers on a clean baking sheet out of the way.,0
How to Toast Sunflower Seeds - Stovetop Toasting,Heat the coconut oil. Add the sunflower seeds and salt. Return the skillet to the stovetop. Turn the heat down to low once the seeds start browning.,0
How to Kill Ants in Your House - Eliminating a House Ant Colony,Lay out an “ant buffet” to see which bait food the ants prefer. Buy ant bait stations that match up with the ants’ current food preference. Set out the bait stations in areas where you see ant activity. Keep the bait stations in place until all ant activity has ceased. Take simple measures to prevent future ant invasions of your home.,0
How to Block Sun from Windows - Installing Window Coverings,Hang curtains for a decorative window covering option. Install blinds for an easy-to-use option. Mount shutters to cover the windows when you want. Cover the exterior of the windows with awnings to limit sunlight. Get window screens to partially block the sun.,0
How to Care for High Arches - Managing Arch Pain,Stretch the arches of your feet to reduce pain. Ice the painful areas of your arches for 20 minutes. Take anti-inflammatory medication to ease the pain. Keep your weight in a healthy range to take pressure off your arches.,1
How to Celebrate Labor Day - Hosting a Labor Day Party,Create your guest list. Call or text your guests to invite them. Ask your guests to chip in with food and drinks. Make appetizers. Have grilling items or another main dish ready. Prepare sides and dessert. Arrange a covered space if you’re having a barbeque. Provide games. Decorate.,0
How to Make Aleppo Soap - Molding the Soap,Pour the lye solution into the oils and blend until trace is reached. Add the soap mixture to the mold(s). Cover the molds with parchment paper and cardboard. Let the soap sit in the mods for 1 to 2 days. Remove the soap from the molds and cure for several weeks.,1
How to Pasteurize - Using Direct Heat to Pasteurize,Pour the food or liquid you want to pasteurize into sterilized containers. Place the containers into a large stockpot and then fill it with water. Heat the water to 175 °F (79 °C) for 20 minutes. Remove the jars and cool them quickly in water. Store the jars in your refrigerator.,0
How to Do a Self Pedicure - Preparing Supplies,"Take inventory of what you already own. Go to a beauty supply store. Grab a clean bucket and some epsom salts. Lay down some towels. Grab your favorite CD, book, or TV show.",0
How to Avoid Self Esteem Pitfalls of Social Media - Building Stronger Relationships,"Spend quality, media free time with your friends and family. Have important conversations in person. Cultivate relationships with your immediate family. Talk to your friends on the phone.",1
How to Build a Relationship With an Estranged Child - Strengthening Your Relationship,Do the work. Focus on your similarities. Model the behavior you want to see. Reflect on good memories. Spend time together. Work to reincorporate each other into your lives. Forgive yourself.,1
How to Relieve Itchy Hands and Feet at Night - Preventing Itchy Hands and Feet at Night,Maintain proper foot and hand care. Choose mild or “hypoallergenic” soaps and laundry detergents. Avoid allergens and irritants. Stay hydrated. Avoid known irritants and allergens. Steer clear of vasodilators and excessive sweating. Reduce stress.,0
How to Take Legal Action for Player to Player Violence - Negotiating a Settlement with the Player,Draft a letter demanding compensation for your injuries. Mail the demand letter to the other player. Plan your negotiation strategy with your lawyer. Negotiate back and forth. Sign a settlement agreement if you reach a resolution.,1
How to Clean a Granite Sink - Removing Hard Water Stains,"Select a non-abrasive scrubbing pad. Dampen and put soap on the scrubber. Scrub the sink. Rinse the sink. Dry the sink using a dry, soft microfiber towel. Apply olive or mineral oil to a cloth. Rub the oil all over the sink. Wipe excess oil away.",0
How to Succeed in Gymnastics - In the Gym,"Once you get there, don't be shy! Actually stretch. Be serious, yet also have fun. Listen to your coaches. Take risks. Push yourself. Attend extra practices or open gyms.",0
How to Exit Safe Mode - On Windows,"Restart your computer. Open Start . Type system configuration into Start. Click System Configuration. Click the General tab. Check the ""Normal startup"" bubble. Click the Boot tab. Uncheck the ""Safe boot"" box. Click Apply, then click OK. Shut down your computer. Leave your computer turned off for a few minutes. Turn back on your computer.",0
How to Pressure Wash Vinyl Siding - Spraying on the Cleaning Solution,"Use an appropriate cleaning solution. Start with a low pressure setting. Increase the pressure incrementally. Begin with a small section of the siding. Blast the surface clean using smooth, sweeping motions. Work in sections. Hold the nozzle straight or at a slight downward angle at all times. Let the cleaning solution sit for several minutes.",1
How to Build a DIY Picture Frame Shelf - Making a Gallery Ledge Shelf,"Gather your supplies. Get your work area ready. Drill pilot holes for easier fastening. Drill pocket holes for a more finished look. Align and fasten your 1x4 boards. Attach your 1x2 board. Add personal touches, if desired. Hang your shelf and display your pictures.",0
How to Improve Your Concentration - Quick Fixes,"Use earplugs. Make a tally of every time your mind wanders on a 3x5 card. Set aside specific times during the day in order to let your mind wander or your concentration drift. Help improve the flow of oxygen to the brain. Remember to give your brain a quick break at least every hour, at most every 30 minutes. Practice doing one thing at a time and do it to completion. Be aware of the spider technique. Do work at a desk, not your bed. Try the five-more rule.",1
How to Make a Gas Mask - Making an Air Filter for your Mask,Attach a homemade air filtration system to your mask to protect from some gases. Cut off the top of a 1-liter bottle. Fill the bottom of the bottle with 3–4 inches (7.6–10 cm) of activated charcoal. Cut the bottom off another 1-liter bottle. Fill the top of the bottle with 3-4 inches of pillow stuffing. Poke 6-7 holes in the charcoal end of your filter when you’re ready to use it. Use a rubber hose to connect the bottom of your air mask to your filter. Replace your activated charcoal with each use.,1
How to Paint With Gouache - Finishing Your Painting,Add paint when the first layer is dry. Add dimension to your design using shading. Add details using a small brush. Refine your piece. Frame your piece.,0
How to Create a Thoughts Journal - Writing in your Thoughts Journal,"Start with an introductory page. Talk about things you love. Record your thoughts in calendar form. Write journal entries from writing prompts. Use the journal whenever you need to explore your thoughts and form an opinion. Don't be afraid to draw, write stories and poems, songs, or anything else about people, places and things in it. Use the journal whenever you'd like to get your feelings sorted out. Use the journal whenever you need to make a difficult decision. Use the journal to help you visualize goals and desires. Try to draw pictures to make it interesting. It's a good idea to write your journal after school or college each day or after dinner.",1
How to Copy Your DVDs With Mac OS X - Copying a Protected DVD Movie,"Install HandBrake. Download Burn for macOS. Install Homebrew. Type brew install libdvdcss into Terminal and press ⏎ Return. Insert the DVD that you want to copy into your Mac's CD slot. Open HandBrake and select your DVD. Select a title from the ""Title"" drop-down menu. Select a preset from the right panel. Click Browse to select a saving location. Click Start. Insert a blank DVD. Open Burn. Click the Video tab. Drag the ripped movie file(s) into the Burn window. Enter a name for the DVD. Click the Burn button. Select your preferences and click Burn.",0
How to Determine a Competitive Wage - Accessing Salary Data,Find average wages in your industry. Consider the appropriate geographic area. Interpret data in context. Leave room for adjustments.,1
How to Stop Running Away from Yourself - Moving Forward,Practice mindfulness. Address problems right away. Keep a journal. Be true to yourself. Be patient.,0
How to Become a Costume Designer - Starting a Career,Make connections with important people. Jump at opportunities. Sell your work independently. Start out as a costume assistant or wardrobe trainee. Apply to become a member of the Costume Designers Guild.,0
How to Practice Proper Text Etiquette,"Know when it's appropriate to send a text. Know when what you're trying to communicate is best sent in a text or an actual voice call. Wait a while before texting a new crush/potential mate. Make sure your text-mate knows what you're trying to say. Don't text while you're with other friends. Keep your ringer short. Spell check your messages before sending them. Save your sent messages. Don't send awful news via text, i.e.",1
How to Get Your Site Indexed in Live Search,Browse to Live.com's Submission page Enter the characters that are in the picture Enter the full URL of your website (http://www.example.com) Click submit URL Wait for about 1-3 weeks and your website should now be included in the Live Search results!,0
How to Increase Red Blood Cell Count - Understanding Red Blood Cell Counts,Know the basics of red blood cells. Know how hemoglobin works in the blood. Understand the role of red blood cells.,0
How to Comfort an Upset Friend - Calming Your Friend Down,"Stay calm. Make sure they are in a comfortable, safe place. Let them cry, rant, talk as long as they need to. Pay attention to your friend’s body language.",0
How to Test Liver Function - Getting the Blood Test,Do not eat the night before the test unless your doctor approves it. Discuss any medications you are taking with your doctor. Wear loose clothing to your appointment. Let your doctor or nurse remove a sample of blood from a vein in your arm. Put pressure on the injection site and let it heal.,0
How to Find Happiness As an Introvert - Putting Yourself Out There,Talk to a stranger. Join a small group or club. Showcase your skills. Suggest a solution for a problem.,1
How to Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,Find a web proxy that works. Open the web proxy on your device. Enjoy unfiltered access to the Internet.,0
How to Buy a Harley Davidson - Considering a Used Harley-Davidson,Familiarize yourself with Harley-Davidson bikes of recent decades. Search classified ads. Find the current market value of the specific model you're considering. Test ride the bike you are considering purchasing. Inspect the interior and the exterior of the bike. Verify the vehicle's mileage. Ask the owner about the vehicle's history and maintenance. Get a vehicle history report using the bike's VIN. Negotiate the price until you are satisfied.,1
How to Use Physical Therapy to Relieve Arthritis Symptoms - Doing Strengthening Exercises,Benefit from strengthening exercises. Use an exercise ball. Strengthen your muscles and joints by using weights. Use resistance bands.,0
How to Find Perfect Ice Skates,"Consider what kind of skating you do. Once that is done, get some skates. Go to a sports store like, Models, Sports Authority, or Dick's Sporting Goods. Go to the ice skate area and look at all of the skates. Choose 3 different types of skates in your size.",1
How to Prepare a Power of Attorney - Preparing a Power of Attorney Document,Check your state’s requirements. Download or write a power of attorney form. Name the parties. Name the powers granted. Note powers that a principal cannot confer. Gather witnesses. Prepare a Revocation of Power of Attorney if you change your mind.,0
How to Clean a Dog's Wound - Seeking Professional Veterinary Help,Don’t wait to see a vet for eye injuries. Take the dog to the vet for stitches if the wound is more than superficial. Seek veterinary help for all bite wounds. Have the vet drain or debride the wound if necessary. Ask the vet about systemic antibiotics.,0
How to Make Him Want You - Having an Attractive Personality,Act confident. Be kind. Be open to new things. Be positive. Give him his space. Keep your conversations interesting.,1
How to Add a Twist to a Story - Honing your Twist,"Emphasize the narrative, not the twist. Create interesting situations. Advance the plot. Challenge genre stereotypes.",1
How to Treat Scalds - Caring for the Scald at Home,"Keep the area clean to ward off infection. Apply a lotion or ointment to the scald after it cools. Cover the scald with a loose, sterile bandage to keep it clean. Avoid scratching the scalded skin or popping any blisters that develop. Keep the scalded area out of the sun if possible to keep it comfortable. Watch out for signs of infection.",1
How to Make a Vanilla Cake - Basic Vanilla Cake,"Prepare to make the cake. Sift the dry ingredients except the sugar. Add the butter, one teaspoon at a time. Add the sugar and eggs. Pour the vanilla extract and milk. Pour the cake batter in a cake pan. Bake the cake. Let the cake cool. Frost the cake. Enjoy!",1
How to Clean Brass Handles - Cleaning Brass Plate,Determine if you have brass-plated metal. Determine if your brass-plated handle is lacquered. Use ammonia or mild soap on unlacquered brass-plated handles. Utilize soapy water to clean lacquered brass-plated handles. Use a commercial cleaning product for heavily tarnished brass plate. Be especially gentle with brass-plated handles.,0
How to Get Rid of Yellow Nails - Treating Yellowed Nails,Remove nail polish. Buff your nails. Rub lemon on your nails. Scrub your nails with hydrogen peroxide and baking soda. Apply whitening toothpaste to your nails. Whiten your nails with denture tablets. Tea Tree Oil. Consult a medical professional.,1
"How to Create a Go Kart with a Lawnmower Engine - Assembling Motor Mount, Brake Rod, and Accessories",Install your motor mount. Attach the throttle cable guide tab. Put in the brake rod guide tab. Bend your brake rod into shape. Give yourself a seat. Choose your side rails. Weld motor mount and attach accessory parts.,0
